video_id,subset,recipe_type,segment_id,segment_start,segment_end,sentence,predicted_label,review_reason,suggested_issue
EjHxMfOdl1k,training,127,2,122,150,put the chicken black beans green onions cilantro and pepper in the rice,Season,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
Ap3g0IRcjzU,training,304,10,412,419,add the udon noodles and cook,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
7nH0Y3agsas,training,202,4,129,173,add flour mixture tomatoes herbs and seasoning to the pan and stir,Season,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
7nH0Y3agsas,training,202,5,182,187,garnish with parsley,Season,margin_below_0.01,top label is barely separated from second label
Kbrkj7wZ4UA,training,419,7,343,346,flip the naan to the other side and cover the lid,Idle,low_confidence_sensitive_label,Idle prediction is low-confidence and needs manual confirmation
_bICKhr9AGo,training,413,0,40,62,place pieces of pork shoulder dark and light soy sauce chinese rice wine cinnamon sticks and water to a pot,Plate,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
pOWe4zB-E-4,training,425,0,5,78,mix the maida rice flour suji curry leaves salt cumin seeds and hing,Season,multiple_action_groups;multi_action_connector,strong action groups detected: Mix|Season; connector suggests a multi-step sentence
pOWe4zB-E-4,training,425,4,190,205,spread the batter in the pan,Mix,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
pOWe4zB-E-4,training,425,6,228,235,flip the dosa over,Idle,top1_below_0.35;low_confidence_sensitive_label,top similarity score is too low; Idle prediction is low-confidence and needs manual confirmation
pOWe4zB-E-4,training,425,7,244,256,place the potato mixture on the dosa,Prep,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
pOWe4zB-E-4,training,425,8,256,263,fold the dosa over,Idle,top1_below_0.35;low_confidence_sensitive_label,top similarity score is too low; Idle prediction is low-confidence and needs manual confirmation
zEdAA9Oxpdw,training,219,3,151,203,add salt ground mustard seed brown sugar and stir,Season,multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,strong action groups detected: Mix|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
7Ui4OCsawAU,training,215,6,217,224,add the escargot inside the shells,Cut,top1_below_0.35;generic_context_verb_very_low_margin,top similarity score is too low; generic add/place/put/pour-style wording with very low margin
frCFxOt9390,training,405,4,144,158,add the spice powder to it and blend,Season,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
frCFxOt9390,training,405,6,167,195,pour in the sauce stir and cover the pot,Cook-Heat,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
frCFxOt9390,training,405,10,239,245,replace the lid on the grill and cook,Cook-Heat,margin_below_0.01,top label is barely separated from second label
HXqC_xWsKkY,training,221,5,92,114,add diced tomatoes beef broth worcester sauce and minced garlic to a pan and stir,Season,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Cut|Mix|Cook-Heat; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
fn9anlEL4FI,validation,405,1,69,86,add the lamb to the pot,Plate,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
_XxXWiOoyhY,training,319,10,348,365,place the egg on top,Mix,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
qOB709GWcE8,training,124,4,199,219,now spread green relish and then add chopped white onions on it,Cut,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
qOB709GWcE8,training,124,5,220,239,place slices of tomato in the edges and pickle and 2 pepper on top,Cut,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Cut|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
-xbTvALWCIg,training,311,5,262,271,spread the soy air on the plate,Plate,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
JxCBGlPgr5o,validation,103,3,122,129,roll the dough out,Mix,margin_below_0.01,top label is barely separated from second label
JxCBGlPgr5o,validation,103,5,139,151,brush the circles with egg washa and sprinkle with sesame seeds,Mix,margin_below_0.01;multiple_action_groups;multi_action_connector,top label is barely separated from second label; strong action groups detected: Prep|Season; connector suggests a multi-step sentence
JxCBGlPgr5o,validation,103,8,194,204,roll the beef out,Cut,margin_below_0.01,top label is barely separated from second label
NTyhMGmuWik,validation,124,0,65,112,in pan take 1 pound ground beef add 1 finely chopped onions 2 cloves finely minced garlic cook 5 mins,Cook-Heat,margin_below_0.01;multiple_action_groups;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Cut|Cook-Heat; generic add/place/put/pour-style wording with very low margin
NTyhMGmuWik,validation,124,4,222,278,steam frankfurters for 4 minutes in same steamer place the hot dog buns and steam for a couple of minutes,Idle,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Idle prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
NTyhMGmuWik,validation,124,5,279,323,place frankfurter in middle of bun cover sausage with chili prepared earlier top with mustard sauce garnish with chopped onions,Plate,margin_below_0.01;multiple_action_groups;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Prep|Cut|Cook-Heat|Plate; Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
ntiGX3X-spA,validation,301,7,248,269,pour in some cooking wine oyster sauce soy sauce give stir and cook in high flame,Cook-Heat,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
DBgap0YANhs,validation,409,2,224,240,mix the potatoes and onions in,Cook-Heat,margin_below_0.01,top label is barely separated from second label
DBgap0YANhs,validation,409,5,362,370,mix fried onions with the rice,Mix,margin_below_0.01,top label is barely separated from second label
DBgap0YANhs,validation,409,7,417,434,add soaked raisins and fried onion on top of the rice,Mix,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
z_ZHVTqbSZo,training,421,2,58,75,add chopped onions and fry until brown,Cut,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Cut|Cook-Heat; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
z_ZHVTqbSZo,training,421,8,189,240,fold into cone shape and fill with potato mix and pinch top closed,Cut,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
GmWb7W7m2vs,training,412,3,60,74,add the lid and cook the rice,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
GmWb7W7m2vs,training,412,12,330,341,add the cooked rice,Plate,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
y-Jxli-JfPg,training,210,0,20,31,grate the potato and onion,Cut,margin_below_0.01,top label is barely separated from second label
C_6yMh3tEQk,training,403,4,340,343,add pad thai sauce,Season,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
a4RwXrA1hiE,validation,324,4,88,99,add the tofu and cook until the liquid is gone,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
Krmi9Is522c,training,421,6,368,491,apply water to the edges make a cone stuff it with the filling and seal it,Mix,margin_below_0.01;top1_below_0.35,top label is barely separated from second label; top similarity score is too low
eQZEf3NCCo4,validation,307,3,141,150,wrap the mat with plastic,Bake,top1_below_0.35;low_confidence_sensitive_label,top similarity score is too low; Bake prediction is low-confidence and needs manual confirmation
1k64hSAAAd4,training,117,2,15,17,spread butter on the dish,Plate,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
1k64hSAAAd4,training,117,3,17,21,add pieces of english muffin and ham to the dish,Plate,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
Vi9BxQvpdpQ,training,418,4,160,181,heat up oil add cumin seeds onion and cook until onion gets golden brown,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
Vi9BxQvpdpQ,training,418,6,205,236,add chana masala and cook for 2 minutes,Idle,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Idle prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
Vi9BxQvpdpQ,training,418,9,381,405,after 4 hours divide dough in small balls,Mix,margin_below_0.01,top label is barely separated from second label
YRZ8zZElALQ,validation,307,2,193,219,cover with plastic wrap and the mat and flip over,Idle,margin_below_0.01;top1_below_0.35;low_confidence_sensitive_label,top label is barely separated from second label; top similarity score is too low; Idle prediction is low-confidence and needs manual confirmation
c9eELn4axpg,validation,101,1,66,88,cut a lime squeeze on the avocado and stir,Mix,multiple_action_groups;multi_action_connector,strong action groups detected: Cut|Mix; connector suggests a multi-step sentence
c9eELn4axpg,validation,101,8,241,255,place few leaves of spring greens over the avocado spread slightly press them and add sliced tomatoes on them,Prep,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
c9eELn4axpg,validation,101,10,286,289,place sunny side egg over the top and serve,Plate,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
0hVAuvPAIzA,training,301,0,30,53,add sugar rice wine soy sauce salt chili oil chili powder and chicken stock to a bowl,Season,multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,strong action groups detected: Cook-Heat|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
0hVAuvPAIzA,training,301,3,120,139,add chicken salt rice wine soy sauce to a bowl and mix,Season,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
0hVAuvPAIzA,training,301,9,229,235,add roasted peanuts to wok and mix,Mix,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Bake; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
0hVAuvPAIzA,training,301,10,236,241,add black vinegar and stir the wok,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
vDDeMg2dhEM,validation,302,7,156,190,add the bean sprouts season with soya sauce and transfer everything on a baking sheet and spread them,Season,multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,strong action groups detected: Cook-Heat|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
vDDeMg2dhEM,validation,302,9,257,307,wrap up the filling,Idle,low_confidence_sensitive_label,Idle prediction is low-confidence and needs manual confirmation
vDDeMg2dhEM,validation,302,10,346,353,put the rolls on a baking plate and cover it with a plastic wrap and freeze them,Bake,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Bake prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
PKt_za_XfF8,training,120,0,14,25,boil the potatoes until it is half done then peel the skin and grate,Prep,multiple_action_groups;multi_action_connector,strong action groups detected: Prep|Cut|Cook-Heat; connector suggests a multi-step sentence
PKt_za_XfF8,training,120,2,41,51,add finely chopped onions into the melted butter and salt till it gets brown,Season,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Cut|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
L-NOPLU4JOQ,training,419,3,167,170,cover the dough,Idle,low_confidence_sensitive_label,Idle prediction is low-confidence and needs manual confirmation
L-NOPLU4JOQ,training,419,6,260,277,roll balls flat on surface,Mix,margin_below_0.01;top1_below_0.35,top label is barely separated from second label; top similarity score is too low
L-NOPLU4JOQ,training,419,10,358,380,pat with butter and serve,Plate,low_confidence_sensitive_label,Plate prediction is low-confidence and needs manual confirmation
tYg3lQ5aZv8,validation,309,1,59,62,boil water and add shiitake mushroom and steep till rehydrated,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
tYg3lQ5aZv8,validation,309,3,71,86,take off the skin of shallots and finely mince,Season,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
tYg3lQ5aZv8,validation,309,11,166,182,fold the pot sticker and pleat the edges,Cut,margin_below_0.01,top label is barely separated from second label
uxEhH6MPH28,training,105,4,113,134,coat the chicken in the seasoned flour,Cook-Heat,multiple_action_groups,strong action groups detected: Mix|Season
xHuaYMXGTnc,training,113,5,154,165,take it out to serve when the other side is also done,Idle,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Idle prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
7ebZWviUfUA,validation,108,0,15,30,add flour sugar baking powder and salt,Season,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
7ebZWviUfUA,validation,108,3,35,47,warm up milk,Cook-Heat,margin_below_0.01,top label is barely separated from second label
G-spzGkKIHM,validation,425,1,42,63,spread chutney on top,Mix,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
IqD6qnug7tc,training,324,3,73,89,add lemongrass galangal crushed vegetables and tomatoes,Prep,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
IqD6qnug7tc,training,324,5,111,125,add the seafood and mushrooms,Cut,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
o9kndEZvsnY,validation,324,1,60,97,open 6 udon noodles,Plate,top1_below_0.35;low_confidence_sensitive_label,top similarity score is too low; Plate prediction is low-confidence and needs manual confirmation
oAE7nqQeMBQ,validation,117,0,14,18,add grease to a cooking tray,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
oAE7nqQeMBQ,validation,117,1,19,33,add milk to a bowl of eggs green onions onion powder and salt,Season,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
oAE7nqQeMBQ,validation,117,4,77,82,sprinkle paprika into the tray,Plate,low_confidence_sensitive_label,Plate prediction is low-confidence and needs manual confirmation
a3ZvOvo49WE,training,216,1,115,208,add olive oil on the iron pan and sear the bratwurst,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
a3ZvOvo49WE,training,216,5,310,355,place the bratwurst on direct heat on the grill let it grill until cooked on both side,Plate,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
0uaKitJaqmI,validation,212,1,128,134,saute until the onion is soft and translucent,Cut,margin_below_0.01,top label is barely separated from second label
0uaKitJaqmI,validation,212,3,156,190,stir in flour thyme water beef bouillon cubes and worcestershire sauce,Mix,margin_below_0.01;multiple_action_groups;multi_action_connector,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat; connector suggests a multi-step sentence
0uaKitJaqmI,validation,212,8,270,306,stir in the nutmeg cream egg yolk butter salt and pepper,Mix,multiple_action_groups;multi_action_connector,strong action groups detected: Mix|Season; connector suggests a multi-step sentence
0uaKitJaqmI,validation,212,10,350,365,sprinkle the top of the potatoes with the grated cheddar cheese,Cook-Heat,margin_below_0.01;multiple_action_groups;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Cut|Season; generic add/place/put/pour-style wording with very low margin
5I-_uJQ0t1o,training,107,0,157,162,remove the head of a squid,Cut,top1_below_0.35,top similarity score is too low
5I-_uJQ0t1o,training,107,4,319,376,mix some flour and black pepper and coat the squid rings with it,Mix,multiple_action_groups;multi_action_connector,strong action groups detected: Mix|Season; connector suggests a multi-step sentence
efnHOsT7k9s,validation,205,3,133,135,place the pizza on the stone,Cut,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
D0EAxdmzjzE,training,124,4,167,180,cook sausages on the grill pan,Cook-Heat,margin_below_0.01,top label is barely separated from second label
CIRA1IC9shc,training,223,13,331,332,add the mushrooms to the stew,Plate,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
SHGY7kKeLq8,training,216,1,111,130,cook some chopped white onion with beer and the brat in a pan,Cook-Heat,margin_below_0.01;multiple_action_groups;multi_action_connector,top label is barely separated from second label; strong action groups detected: Cut|Cook-Heat; connector suggests a multi-step sentence
sSO2wO-yaHw,validation,304,2,180,183,add wine to the wok,Cook-Heat,top1_below_0.35,top similarity score is too low
sSO2wO-yaHw,validation,304,5,255,257,add bamboo to the wok,Cook-Heat,top1_below_0.35,top similarity score is too low
sSO2wO-yaHw,validation,304,6,280,295,add the maggi sauce to the wok and stir,Cook-Heat,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Cook-Heat; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
_mL1gihKDw0,validation,305,2,88,116,combine the cabbage and salt water,Season,margin_below_0.01;multiple_action_groups;multi_action_connector,top label is barely separated from second label; strong action groups detected: Mix|Season; connector suggests a multi-step sentence
-sQXBqu-_1w,training,323,5,134,136,mix the pork with the marinade,Idle,margin_below_0.01;low_confidence_sensitive_label,top label is barely separated from second label; Idle prediction is low-confidence and needs manual confirmation
bQ3QYyFglc0,training,101,6,89,100,put some avocado on top,Plate,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
bQ3QYyFglc0,training,101,10,154,163,cover it with another piece of bread,Idle,margin_below_0.01;low_confidence_sensitive_label,top label is barely separated from second label; Idle prediction is low-confidence and needs manual confirmation
jGnz9f_2A2Y,training,306,2,208,238,crush seaweed and chilies,Cut,margin_below_0.01,top label is barely separated from second label
jGnz9f_2A2Y,training,306,3,240,277,combine sweet chili sauce rice wine vinegar fish sauce sesame seeds coriander and mint and blend together,Season,multiple_action_groups;multi_action_connector,strong action groups detected: Mix|Cook-Heat; connector suggests a multi-step sentence
jGnz9f_2A2Y,training,306,6,348,350,grate lemon zest,Season,top1_below_0.35,top similarity score is too low
asoMkznFaCU,training,215,0,57,63,mix some chopped parsley garlic and butter,Season,multiple_action_groups;multi_action_connector,strong action groups detected: Cut|Mix; connector suggests a multi-step sentence
cVUMbDi51ZQ,training,406,5,515,577,place shrimp accross middle and add all other ingredients,Plate,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Plate prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
cVUMbDi51ZQ,training,406,6,580,615,fold up tight and roll up,Idle,low_confidence_sensitive_label,Idle prediction is low-confidence and needs manual confirmation
qndZKzNHpwc,training,308,0,114,164,place a ball of rice onto the seaweed and spread out,Prep,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
qndZKzNHpwc,training,308,2,208,219,flip the seaweed over,Idle,top1_below_0.35;low_confidence_sensitive_label,top similarity score is too low; Idle prediction is low-confidence and needs manual confirmation
qndZKzNHpwc,training,308,3,219,224,place scallians in a line on the seaweed,Cut,top1_below_0.35,top similarity score is too low
qndZKzNHpwc,training,308,6,323,343,place the mat over the roll and press down,Mix,margin_below_0.01;top1_below_0.35;generic_context_verb_very_low_margin,top label is barely separated from second label; top similarity score is too low; generic add/place/put/pour-style wording with very low margin
ZLA9W7R4a_c,training,325,0,37,64,heat oil in a wok add some finely chopped garlic finely chopped chilies and saute,Cook-Heat,multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,strong action groups detected: Cut|Cook-Heat; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
dl4NvSA3hRI,training,412,3,192,222,add oyster sauce sugar and fish sauce to the wok,Mix,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
dl4NvSA3hRI,training,412,4,278,297,add rice to the wok and stir,Mix,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
tXfLb2JyZI0,training,410,1,50,88,roll the dough out,Mix,margin_below_0.01,top label is barely separated from second label
tXfLb2JyZI0,training,410,4,150,160,place the roti on the flame so that it puffs out,Idle,low_confidence_sensitive_label;generic_context_verb_very_low_margin,Idle prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
Ex2yu23wyHA,training,304,4,188,192,add sesame oil,Mix,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
2iWUUcW08ac,validation,108,5,278,294,pour the butter into the egg yolks,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
I8ckIq2-j0k,training,207,5,205,224,coat pieces of fish in the batter,Plate,low_confidence_sensitive_label,Plate prediction is low-confidence and needs manual confirmation
84i8Qdnyd0k,validation,114,3,135,145,mash the potatoes well with a hand masher,Prep,margin_below_0.01,top label is barely separated from second label
4Zl5NvXPi-0,validation,213,3,70,75,add more gruyere cheese on the ham and apply dijon mustard on the bread,Season,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
4Zl5NvXPi-0,validation,213,4,75,81,put the ham on the bread and pour some bechamel sauce on the bread,Idle,margin_below_0.01;low_confidence_sensitive_label;generic_context_verb_very_low_margin,top label is barely separated from second label; Idle prediction is low-confidence and needs manual confirmation; generic add/place/put/pour-style wording with very low margin
5E3kulJRzGY,training,405,4,187,205,add onion and the sauce and cover the pot,Cook-Heat,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
YMYNv3cZ9SE,validation,210,4,87,100,add some salt and pepper to the milk and whisk around,Mix,margin_below_0.01;multiple_action_groups;multi_action_connector;generic_context_verb_very_low_margin,top label is barely separated from second label; strong action groups detected: Mix|Season; connector suggests a multi-step sentence; generic add/place/put/pour-style wording with very low margin
YMYNv3cZ9SE,validation,210,13,247,260,serve them with the bacon and scrambled eggs,Plate,margin_below_0.01;low_confidence_sensitive_label,top label is barely separated from second label; Plate prediction is low-confidence and needs manual confirmation
EedEYHqLfP8,validation,106,2,144,167,add evaporated milk water and cheese,Prep,margin_below_0.01;generic_context_verb_very_low_margin,top label is barely separated from second label; generic add/place/put/pour-style wording with very low margin
