video_id,segment_id,sentence,predicted_label,review_reason
Vi9BxQvpdpQ,4,heat up oil add cumin seeds onion and cook until onion gets golden brown,Cook-Heat,Margin below manual review threshold.
Vi9BxQvpdpQ,6,add chana masala and cook for 2 minutes,Idle,Margin below manual review threshold.
Vi9BxQvpdpQ,7,add tomatoes red chilli powder mix cover and cook for 5 minutes,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat
Vi9BxQvpdpQ,9,after 4 hours divide dough in small balls,Mix,Margin below manual review threshold.
3r8A4xCZgPQ,4,mix red chili sugar garlic fish sauce and scallians with the radish,Mix,Prediction is not clearly separated enough for normal use.
YRZ8zZElALQ,2,cover with plastic wrap and the mat and flip over,Idle,Margin below manual review threshold.
c9eELn4axpg,1,cut a lime squeeze on the avocado and stir,Mix,Low margin and multiple action groups detected: Cut|Mix
c9eELn4axpg,8,place few leaves of spring greens over the avocado spread slightly press them and add sliced tomatoes on them,Prep,Margin below manual review threshold.
c9eELn4axpg,10,place sunny side egg over the top and serve,Plate,Margin below manual review threshold.
nqyO0ovASOg,3,sprinkle some garlic and parsley and cook the potatoes for 1-2 mins,Prep,Moderate-low margin with connector and multiple action groups detected: Cook-Heat|Season
0hVAuvPAIzA,3,add chicken salt rice wine soy sauce to a bowl and mix,Season,Low margin and multiple action groups detected: Mix|Season
0hVAuvPAIzA,9,add roasted peanuts to wok and mix,Mix,Margin below manual review threshold.
0hVAuvPAIzA,10,add black vinegar and stir the wok,Mix,Margin below manual review threshold.
vDDeMg2dhEM,3,drain the soaked shiitake mushroom discard the thick stem and chop the cap,Prep,Moderate-low margin with connector and multiple action groups detected: Prep|Cut
vDDeMg2dhEM,6,add all the vegetables except the bean sprouts and stir fry,Prep,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat
vDDeMg2dhEM,7,add the bean sprouts season with soya sauce and transfer everything on a baking sheet and spread them,Season,Low margin and multiple action groups detected: Bake|Season
vDDeMg2dhEM,9,wrap up the filling,Idle,Margin below manual review threshold.
vDDeMg2dhEM,10,put the rolls on a baking plate and cover it with a plastic wrap and freeze them,Bake,Low margin and multiple action groups detected: Bake|Plate
VH0SmCfAov4,1,add 1 chopped toasted pita bread,Mix,Margin below manual review threshold.
PKt_za_XfF8,0,boil the potatoes until it is half done then peel the skin and grate,Prep,Low margin and multiple action groups detected: Prep|Cut|Cook-Heat
PKt_za_XfF8,2,add finely chopped onions into the melted butter and salt till it gets brown,Season,Margin below manual review threshold.
HghNzA9BJAU,1,mix the tuna with scallions and sriracha,Mix,Margin below manual review threshold.
L-NOPLU4JOQ,3,cover the dough,Idle,Margin below manual review threshold.
L-NOPLU4JOQ,6,roll balls flat on surface,Mix,Margin below manual review threshold.
L-NOPLU4JOQ,10,pat with butter and serve,Plate,Margin below manual review threshold.
tYg3lQ5aZv8,1,boil water and add shiitake mushroom and steep till rehydrated,Cook-Heat,Margin below manual review threshold.
tYg3lQ5aZv8,3,take off the skin of shallots and finely mince,Cut,Margin below manual review threshold.
tYg3lQ5aZv8,11,fold the pot sticker and pleat the edges,Cut,Margin below manual review threshold.
xHuaYMXGTnc,3,put the cheese slice on top and then the other piece of toast on top,Cut,Moderate-low margin with connector and multiple action groups detected: Cut|Cook-Heat
xHuaYMXGTnc,4,flip it when the bottom is golden,Idle,Prediction is not clearly separated enough for normal use.
xHuaYMXGTnc,5,take it out to serve when the other side is also done,Idle,Margin below manual review threshold.
7ebZWviUfUA,0,add flour sugar baking powder and salt,Season,Low margin and multiple action groups detected: Bake|Season
7ebZWviUfUA,3,warm up milk,Cook-Heat,Margin below manual review threshold.
G-spzGkKIHM,1,spread chutney on top,Mix,Margin below manual review threshold.
G-spzGkKIHM,4,fold in half and serve hot,Cut,Moderate-low margin with connector and multiple action groups detected: Mix|Plate
IqD6qnug7tc,3,add lemongrass galangal crushed vegetables and tomatoes,Prep,Margin below manual review threshold.
IqD6qnug7tc,5,add the seafood and mushrooms,Cut,Margin below manual review threshold.
o9kndEZvsnY,1,open 6 udon noodles,Plate,Top1 score below manual review threshold.
o9kndEZvsnY,5,put some of the vegetables in to the pot and let it come to boil by slightly separating the noodles,Cook-Heat,Margin below manual review threshold.
oAE7nqQeMBQ,0,add grease to a cooking tray,Cook-Heat,Margin below manual review threshold.
oAE7nqQeMBQ,1,add milk to a bowl of eggs green onions onion powder and salt,Season,Margin below manual review threshold.
oAE7nqQeMBQ,4,sprinkle paprika into the tray,Plate,Margin below manual review threshold.
a3ZvOvo49WE,1,add olive oil on the iron pan and sear the bratwurst,Cook-Heat,Margin below manual review threshold.
a3ZvOvo49WE,4,remove the pan off the coal heat and close the grill lid and let it cook indirectly for about half an hour,Cook-Heat,Low margin and multiple action groups detected: Prep|Cook-Heat
a3ZvOvo49WE,5,place the bratwurst on direct heat on the grill let it grill until cooked on both side,Cook-Heat,Margin below manual review threshold.
0uaKitJaqmI,1,saute until the onion is soft and translucent,Cut,Margin below manual review threshold.
0uaKitJaqmI,3,stir in flour thyme water beef bouillon cubes and worcestershire sauce,Mix,Margin below manual review threshold.
0uaKitJaqmI,7,mash the potatoes,Prep,Margin below manual review threshold.
0uaKitJaqmI,8,stir in the nutmeg cream egg yolk butter salt and pepper,Mix,Low margin and multiple action groups detected: Mix|Season
0uaKitJaqmI,10,sprinkle the top of the potatoes with the grated cheddar cheese,Cook-Heat,Margin below manual review threshold.
5I-_uJQ0t1o,4,mix some flour and black pepper and coat the squid rings with it,Mix,Low margin and multiple action groups detected: Mix|Season
Zoud8fEbWhE,4,combine juice of 3 lemones 1 tbsp garlic paste regular mustard and 1 tbsp white and black pepper,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Season
efnHOsT7k9s,3,place the pizza on the stone,Cut,Margin below manual review threshold.
D0EAxdmzjzE,4,cook sausages on the grill pan,Cook-Heat,Margin below manual review threshold.
CIRA1IC9shc,1,cook the bacon in a heated pan and then remove it from the pan,Cook-Heat,Moderate-low margin with connector and multiple action groups detected: Prep|Cook-Heat
CIRA1IC9shc,13,add the mushrooms to the stew,Plate,Prediction is not clearly separated enough for normal use.
SHGY7kKeLq8,1,cook some chopped white onion with beer and the brat in a pan,Cook-Heat,Margin below manual review threshold.
sSO2wO-yaHw,6,add the maggi sauce to the wok and stir,Mix,Margin below manual review threshold.
sSO2wO-yaHw,8,add udon noodles to the wok and stir,Mix,Margin below manual review threshold.
_mL1gihKDw0,1,prepare some water in a large bowl and add some rock salt,Season,Moderate-low margin with connector and multiple action groups detected: Prep|Season
_mL1gihKDw0,2,combine the cabbage and salt water,Season,Low margin and multiple action groups detected: Mix|Season
#NAME?,5,mix the pork with the marinade,Mix,Margin below manual review threshold.
#NAME?,6,chop red onion and slice red bell pepper and snap peas,Cut,Moderate-low margin with connector and multiple action groups detected: Cut|Season
#NAME?,10,add bell pepper slices peas and broccoli and stir fry,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat|Season
#NAME?,14,garnish with chopped red pepper and green onions,Season,Moderate-low margin with connector and multiple action groups detected: Season|Plate
bQ3QYyFglc0,6,put some avocado on top,Plate,Margin below manual review threshold.
bQ3QYyFglc0,10,cover it with another piece of bread,Idle,Margin below manual review threshold.
jGnz9f_2A2Y,2,crush seaweed and chilies,Cut,Margin below manual review threshold.
jGnz9f_2A2Y,3,combine sweet chili sauce rice wine vinegar fish sauce sesame seeds coriander and mint and blend together,Mix,Margin below manual review threshold.
cVUMbDi51ZQ,5,place shrimp accross middle and add all other ingredients,Plate,Margin below manual review threshold.
cVUMbDi51ZQ,6,fold up tight and roll up,Idle,Prediction is not clearly separated enough for normal use.
qndZKzNHpwc,0,place a ball of rice onto the seaweed and spread out,Prep,Margin below manual review threshold.
qndZKzNHpwc,2,flip the seaweed over,Idle,Top1 score below manual review threshold.
qndZKzNHpwc,4,place the tuna next to the scallians,Plate,Prediction is not clearly separated enough for normal use.
qndZKzNHpwc,6,place the mat over the roll and press down,Mix,Margin below manual review threshold.
Aa4rc5Exz24,0,crack two eggs and whisk them,Prep,Low margin and multiple action groups detected: Prep|Mix
ZLA9W7R4a_c,2,add chilli sauce soy sauce vinegar mix all together well and cook,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat
ZLA9W7R4a_c,3,add water or stock and corn flour mixture salt and pepper and mix well and bring it to boil,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat|Season
dl4NvSA3hRI,3,add oyster sauce sugar and fish sauce to the wok,Mix,Margin below manual review threshold.
dl4NvSA3hRI,4,add rice to the wok and stir,Mix,Margin below manual review threshold.
1R9d_EJPZ-w,4,stir fry the squid,Cook-Heat,Low margin and multiple action groups detected: Mix|Cook-Heat
tXfLb2JyZI0,1,roll the dough out,Mix,Margin below manual review threshold.
tXfLb2JyZI0,4,place the roti on the flame so that it puffs out,Idle,Prediction is not clearly separated enough for normal use.
aG7C1vjn1Lw,0,put a clove of garlic and mayonnaise in a pot,Mix,Margin below manual review threshold.
aG7C1vjn1Lw,5,put the sauce chopped lettuce slices of cooked chicken breast and the fried bread on a plate,Plate,Prediction is not clearly separated enough for normal use.
aG7C1vjn1Lw,6,grate some parmesan cheese on top,Cut,Prediction is not clearly separated enough for normal use.
Ex2yu23wyHA,3,add the cooked noodles soy sauce white pepper light soy sauce and mix it well,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Season
Ex2yu23wyHA,4,add sesame oil,Mix,Margin below manual review threshold.
2uApOypvnZI,4,place the cod onto a plate and serve with french fries green peas tartar sauce and a lemon slice,Plate,Moderate-low margin with connector and multiple action groups detected: Cut|Plate
2iWUUcW08ac,5,pour the butter into the egg yolks,Cook-Heat,Margin below manual review threshold.
I8ckIq2-j0k,1,add cayenne pepper and dill to a bowl of flour baking powder salt and pepper,Season,Low margin and multiple action groups detected: Bake|Season
I8ckIq2-j0k,5,coat pieces of fish in the batter,Plate,Prediction is not clearly separated enough for normal use.
P8SY69LYkx0,4,to make small burgers take small quantity of the mixture roll it and press so as to get small burger,Mix,Margin below manual review threshold.
91Fz5ZBgeL4,0,mix the eggs with salt and pepper,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Season
91Fz5ZBgeL4,3,add the chopped vegetables to the wok and stir,Prep,Margin below manual review threshold.
84i8Qdnyd0k,1,put in cold water and cook to a boil and salt the water,Cook-Heat,Moderate-low margin with connector and multiple action groups detected: Cook-Heat|Season
84i8Qdnyd0k,3,mash the potatoes well with a hand masher,Prep,Margin below manual review threshold.
Tf-gY_-pT1U,4,save two cups of water from cooked potatoes,Cook-Heat,Prediction is not clearly separated enough for normal use.
Tf-gY_-pT1U,10,cover dough with paper towel for ten minutes,Idle,Prediction is not clearly separated enough for normal use.
4Zl5NvXPi-0,3,add more gruyere cheese on the ham and apply dijon mustard on the bread,Season,Margin below manual review threshold.
4Zl5NvXPi-0,4,put the ham on the bread and pour some bechamel sauce on the bread,Idle,Margin below manual review threshold.
4Zl5NvXPi-0,5,put the sandwich in the oven to toast the cheese,Bake,Prediction is not clearly separated enough for normal use.
sT594H2u4kk,2,cook mince until brown drain the excess fat and add them to cooked mushrooms and onions,Cook-Heat,Low margin and multiple action groups detected: Prep|Cut|Cook-Heat
sT594H2u4kk,4,add chopped tomatoes baked beans diced carrots and beef stock stir and simmer with the lid on,Cook-Heat,Low margin and multiple action groups detected: Mix|Cook-Heat
sT594H2u4kk,7,pour the meat mixture into a dish and spread and score the mash potatoes on top,Cook-Heat,Margin below manual review threshold.
5E3kulJRzGY,4,add onion and the sauce and cover the pot,Cook-Heat,Margin below manual review threshold.
YMYNv3cZ9SE,0,peel the potatoes and cut them to halves,Cut,Moderate-low margin with connector and multiple action groups detected: Prep|Cut
YMYNv3cZ9SE,4,add some salt and pepper to the milk and whisk around,Mix,Low margin and multiple action groups detected: Mix|Season
YMYNv3cZ9SE,5,mix the potato baking powder and flour,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Bake
YMYNv3cZ9SE,11,cover and cook under medium heat,Cook-Heat,Margin below manual review threshold.
YMYNv3cZ9SE,13,serve them with the bacon and scrambled eggs,Plate,Margin below manual review threshold.
EedEYHqLfP8,2,add evaporated milk water and cheese,Prep,Margin below manual review threshold.
blAZtDBQnjI,2,chop some mushrooms green onions and tofu,Cut,Margin below manual review threshold.
TFJ6oR89Vb8,1,add feta cheese basil and cherry tomatoes to the eggs,Prep,Margin below manual review threshold.
0Mz4NTozNXw,0,combine flour cornstarch instant mashed potatos and cayenne,Mix,Margin below manual review threshold.
0Mz4NTozNXw,4,coat the onion rings in the batter,Prep,Margin below manual review threshold.
tGaAAI3aAUs,4,add tomato paste stir and cook,Cook-Heat,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat
tGaAAI3aAUs,5,add the browned beef to the spice mixture and stir everything together,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Season
tGaAAI3aAUs,6,add ketchup honey and sauce and water stir and simmer,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Cook-Heat
tGaAAI3aAUs,7,open the lid stir and season,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Season
tGaAAI3aAUs,8,fill the taco shells and top with sour cream grated cheddar cheese and chopped lettuce,Cut,Margin below manual review threshold.
GYolHIuQlEY,1,press down on the ball of dough,Mix,Margin below manual review threshold.
eYOn2ZVB4nc,1,finely chop a bundle of parsley and add to a bowl,Cut,Margin below manual review threshold.
eYOn2ZVB4nc,2,remove the leaves from stalks of mint chop finely and add to the parsley,Cut,Low margin and multiple action groups detected: Prep|Cut
eYOn2ZVB4nc,3,chop a cucumber in half remove the seeds finely chop and add to the bowl,Mix,Low margin and multiple action groups detected: Prep|Cut
eYOn2ZVB4nc,4,cut a tomato into quarters remove the seeds chop finely and add to the bowl,Mix,Moderate-low margin with connector and multiple action groups detected: Prep|Cut
eYOn2ZVB4nc,5,finely chop the spring onions and add to a bowl,Cut,Prediction is not clearly separated enough for normal use.
eYOn2ZVB4nc,6,season the bowl with salt pepper allspice cinnamon and mix,Season,Moderate-low margin with connector and multiple action groups detected: Mix|Season
EnP2j1caRVs,0,soak and rinse the short ribs,Prep,Margin below manual review threshold.
EnP2j1caRVs,1,mix soy sauce sugar ground pepper sesame oil,Season,Low margin and multiple action groups detected: Mix|Season
EnP2j1caRVs,3,marinate the ribs,Idle,Prediction is not clearly separated enough for normal use.
EnP2j1caRVs,5,cook the short ribs,Cut,Margin below manual review threshold.
wSXkTrTvI5o,1,put ham between bread and spread butter on top,Cook-Heat,Margin below manual review threshold.
wSXkTrTvI5o,4,sprinkle cheese on top,Plate,Prediction is not clearly separated enough for normal use.
cF45-iVw--w,1,add vodka to the pot,Cook-Heat,Margin below manual review threshold.
cF45-iVw--w,2,add tomato paste and cream to the pot,Season,Margin below manual review threshold.
9cDDAEsdb7A,8,keep whisking until the gravy turns to a dark color,Season,Margin below manual review threshold.
hL0kuCIfFJI,4,add a little salt sesame seeds and stir,Season,Low margin and multiple action groups detected: Mix|Season
0Y8z5xbGKqI,4,spread oil onto the chapati and fold into a triangle,Cut,Margin below manual review threshold.
bFoIJCDEqGw,5,pat the slices dry and put on a plate in fridge,Prep,Moderate-low margin with connector and multiple action groups detected: Prep|Plate
pTjoGIvSfE8,3,stir over medium heat until mixture comes to a boil,Mix,Low margin and multiple action groups detected: Mix|Cook-Heat
pTjoGIvSfE8,6,add drained pasta and beans to tomatoes and cook additional 10-15 minutes on low,Plate,Margin below manual review threshold.
C67CT1mdkzI,2,add oil to the dough and let the dough rest,Idle,Prediction is not clearly separated enough for normal use.
C67CT1mdkzI,6,place the dough onto a pan over heat,Cook-Heat,Prediction is not clearly separated enough for normal use.
C67CT1mdkzI,7,flip the roti to the other side,Idle,Margin below manual review threshold.
PTgdWWK2SPQ,4,add 1 pound of cannellini beans six cups water and bay leaf  cook closing lid on high pressure 35 minutes,Season,Margin below manual review threshold.
PTgdWWK2SPQ,8,pour it to a soup bowl and top with some grated parmesan cheese and chopped parsley and serve,Plate,Prediction is not clearly separated enough for normal use.
SUrLFp8IwRw,4,peel and slice the zucchini,Cut,Moderate-low margin with connector and multiple action groups detected: Prep|Cut
SUrLFp8IwRw,6,cut green bell pepper,Cut,Low margin and multiple action groups detected: Cut|Season
91z7e22XGy8,0,boil the potatoes in water,Cook-Heat,Margin below manual review threshold.
91z7e22XGy8,4,place the filling in the center of the wrapper,Idle,Margin below manual review threshold.
91z7e22XGy8,6,boil the pirogies in a pot of water,Cook-Heat,Prediction is not clearly separated enough for normal use.
COKrOqleb1k,6,place the roti into a hot pan and flip every thirty seconds,Idle,Margin below manual review threshold.
QpDxIXV6VTE,2,take out the clams separately and put them in a bowl leaving the stock in the pan,Mix,Margin below manual review threshold.
QpDxIXV6VTE,3,pour the clam stock into a jar,Idle,Margin below manual review threshold.
QpDxIXV6VTE,7,melt butter in a pan add chopped onions celery pancetta ground black pepper and saute,Cook-Heat,Moderate-low margin with connector and multiple action groups detected: Cook-Heat|Season
QpDxIXV6VTE,12,add clam meat into the soup and cook for 1 minute and serve,Plate,Moderate-low margin with connector and multiple action groups detected: Cook-Heat|Plate
5MiUA4iaKbA,2,cook all sides of the kebabs,Bake,Margin below manual review threshold.
7R5MVNE-ePU,6,add flour clam broth and a bay leaf to the pot,Mix,Margin below manual review threshold.
wokMK-w7XiA,1,whisk mayonnaise lemon juice and pepper and combine with the fruits and nuts,Mix,Moderate-low margin with connector and multiple action groups detected: Mix|Season
jEo9VXYVrxs,7,seal it with plastic wrapper and refrigerate,Idle,Prediction is not clearly separated enough for normal use.
RWtVm_5_D2s,0,add yeast and oil to the water,Prep,Margin below manual review threshold.
i4ZAwUoP8c4,0,finely chop onions and transfer it to a deep pan and salt them in vegetable oil,Cook-Heat,Moderate-low margin with connector and multiple action groups detected: Cut|Season
i4ZAwUoP8c4,3,remove the pot from the heat and add 2 tbsps of paprika and mix well,Cook-Heat,Low margin and multiple action groups detected: Prep|Mix|Cook-Heat
i4ZAwUoP8c4,5,add 1 chopped sweet pepper and 1 chopped tomato cover the lid and simmer on low heat,Season,Moderate-low margin with connector and multiple action groups detected: Cook-Heat|Season
i4ZAwUoP8c4,9,add chopped vegetables and 1 tsp of ground caraway seeds to the soup,Mix,Margin below manual review threshold.
i4ZAwUoP8c4,10,add some more water and cook until carrots and parsnips are half tender add potatoes and cook with lid covered,Cook-Heat,Margin below manual review threshold.
PXYabjc__UU,3,roll the rice paper tuck and roll seal it well,Prep,Margin below manual review threshold.
PXYabjc__UU,4,serve it with asian sauce,Plate,Prediction is not clearly separated enough for normal use.
tKWl-njXhP0,2,combine the wet and dry ingredients,Mix,Moderate-low margin with connector and multiple action groups detected: Prep|Mix
7EDUOK75P2E,5,add snow peas to the pan,Season,Margin below manual review threshold.
7EDUOK75P2E,7,add the udon noodles to the pan and mix,Mix,Margin below manual review threshold.
