video_id,subset,recipe_type,segment_id,segment_start,segment_end,sentence,predicted_label,label_quality,recommended_sample_weight
-AwyG1JcMp8,validation,309,4,262,267,dip the potsticker in the sauce,Cook-Heat,weak,0.5
-ErPSunMfcs,validation,201,1,25,27,coat the chicken cutlets with mixture of grated parmesan cheese and panko breadcrumbs,Cut,weak,0.5
-ErPSunMfcs,validation,201,2,30,35,press chicken cutlets hard to coat them thoroughly,Cut,weak,0.5
-ErPSunMfcs,validation,201,3,40,47,fry the chicken cutlets on a pan with oil on both sides,Cook-Heat,good,1.0
-ErPSunMfcs,validation,201,4,56,80,pour some marinara sauce on top of the fried chicken,Cook-Heat,good,1.0
-ErPSunMfcs,validation,201,5,82,90,place a piece of cheese on each piece,Cut,good,1.0
-ErPSunMfcs,validation,201,6,93,106,put the chicken pieces in an oven for 400 f oven for about 10 minutes until cheese to melt,Bake,good,1.0
-GlSSp5ZOCQ,validation,121,0,55,70,rinse and soak the clams,Prep,good,1.0
-GlSSp5ZOCQ,validation,121,1,70,86,chop the onion and add the clams and white wine,Cut,good,1.0
-GlSSp5ZOCQ,validation,121,2,86,119,boil the clams in the liquid,Prep,good,1.0
-GlSSp5ZOCQ,validation,121,3,119,124,add bacon to the pot,Cook-Heat,good,1.0
-GlSSp5ZOCQ,validation,121,4,124,129,remove all the clams from the shell,Cut,weak,0.5
-GlSSp5ZOCQ,validation,121,5,129,143,remove the bacon from the pot and saute some onions,Cook-Heat,weak,0.5
-GlSSp5ZOCQ,validation,121,6,143,152,add clam juice and water and boil the mixture,Mix,weak,0.5
-Ju39A-G0Dk,validation,225,0,107,114,pour a can of kidney beans in a pot,Prep,weak,0.5
-Ju39A-G0Dk,validation,225,2,151,155,pour water into the pot,Cook-Heat,weak,0.5
-Ju39A-G0Dk,validation,225,3,176,186,add some oregano to the pot,Season,good,1.0
-Ju39A-G0Dk,validation,225,4,188,196,add some basil to the pot,Cook-Heat,weak,0.5
-Ju39A-G0Dk,validation,225,5,204,227,add a little bit salt and black pepper to the pot,Season,good,1.0
-Ju39A-G0Dk,validation,225,6,229,243,add garlic paste to the pot,Season,weak,0.5
-Ju39A-G0Dk,validation,225,7,247,256,add chopped onion to the pot,Cut,weak,0.5
-Ju39A-G0Dk,validation,225,8,260,279,heat the soup and let it simmer,Mix,weak,0.5
-ORd4EBliqw,training,207,1,28,31,place the potatos into the water,Prep,good,1.0
-ORd4EBliqw,training,207,2,59,79,add the egg yolks mustard and vinegar to a bowl,Mix,good,1.0
-ORd4EBliqw,training,207,3,91,117,mix in oil with the eggs,Mix,good,1.0
-ORd4EBliqw,training,207,4,136,140,chop the capers and pickle,Cut,good,1.0
-ORd4EBliqw,training,207,5,144,162,mix the herbs salt and pepper into the mayonnaise,Season,good,1.0
-ORd4EBliqw,training,207,6,198,225,mix together the flour sugar yeast beer salt and pepper,Season,weak,0.5
-ORd4EBliqw,training,207,7,261,340,cut the skin off the fish and then cut into pieces,Cut,good,1.0
-ORd4EBliqw,training,207,8,355,358,fry the potatos in the fryer,Cook-Heat,good,1.0
-ORd4EBliqw,training,207,9,387,404,coat the fish in the flour and the batter,Prep,weak,0.5
-ORd4EBliqw,training,207,10,417,434,fry the fish in the fryer,Cook-Heat,good,1.0
-dh_uGahzYo,validation,405,0,105,120,mix hanger chili powder ginger powder fennel powder and water,Season,good,1.0
-dh_uGahzYo,validation,405,1,125,132,add cumin seeds green cardamom cinnamon sticks to a blender,Mix,good,1.0
-dh_uGahzYo,validation,405,2,138,145,heat some ghee in a pan,Cook-Heat,good,1.0
-dh_uGahzYo,validation,405,3,146,148,add the black cardamom to the pan,Cook-Heat,weak,0.5
-dh_uGahzYo,validation,405,4,183,196,add the mutton to the pan,Cook-Heat,weak,0.5
-dh_uGahzYo,validation,405,5,224,230,add the mixture,Mix,good,1.0
-dh_uGahzYo,validation,405,6,247,259,season with salt and cover the pot,Season,good,1.0
-dh_uGahzYo,validation,405,7,334,345,add the blended spice to the pot,Mix,weak,0.5
-dh_uGahzYo,validation,405,8,381,383,cover the pot,Cook-Heat,weak,0.5
-eyDS81FADw,training,314,0,42,48,boil some water with chicken stock,Cook-Heat,good,1.0
-eyDS81FADw,training,314,2,62,77,chop garlic ginger cabbage carrot and scallions,Cut,good,1.0
-eyDS81FADw,training,314,3,78,95,heat some oil in a pan and stir fry the garlic ginger cabbage and carrot,Cook-Heat,good,1.0
-eyDS81FADw,training,314,4,97,108,cook the noodles in the boiled water and chicken stock,Cook-Heat,good,1.0
-eyDS81FADw,training,314,5,111,112,drain the noodles and set them aside,Prep,weak,0.5
-eyDS81FADw,training,314,6,113,128,add miso soup base noodles and the cooked vegetables scallions and boiled eggs to the bowl,Mix,weak,0.5
-gJHzNJFTx4,training,425,0,87,99,pour oil and mustard seeds onto a hot pan and add urudu dal,Cook-Heat,good,1.0
-gJHzNJFTx4,training,425,1,100,109,add chopped onion and green chilis to the pan,Cook-Heat,weak,0.5
-gJHzNJFTx4,training,425,2,110,116,add ginger and curry leaves to the pan,Cook-Heat,weak,0.5
-gJHzNJFTx4,training,425,3,122,130,add the cooked potatoes and mix,Cook-Heat,good,1.0
-gJHzNJFTx4,training,425,4,131,137,sprinkle some cilantro leaves over the potatoes,Season,weak,0.5
-gJHzNJFTx4,training,425,5,138,148,pour the dosa batter on a pan and spread into a thin circle,Mix,weak,0.5
-gJHzNJFTx4,training,425,6,149,152,pour some oil over the dosa,Cook-Heat,weak,0.5
-gJHzNJFTx4,training,425,8,169,182,spread the onion chutney over the dosa,Cut,weak,0.5
-gJHzNJFTx4,training,425,9,183,204,add the potato masala to the dosa,Season,weak,0.5
-geDRZmY-E8,training,324,1,125,136,chop the green onion,Cut,good,1.0
-geDRZmY-E8,training,324,2,136,153,slice the fish cake and pickled radish,Cut,weak,0.5
-geDRZmY-E8,training,324,4,176,200,add broth and water to a cup,Mix,weak,0.5
-geDRZmY-E8,training,324,6,252,262,pour broth onto the noodles,Mix,weak,0.5
-goI2-eJO1w,validation,124,0,48,104,saute onions jalapeno and garlic,Season,good,1.0
-goI2-eJO1w,validation,124,1,104,121,put the meat in the pan and pour beer in,Cook-Heat,good,1.0
-goI2-eJO1w,validation,124,2,143,187,add some cumin chili powder paprika worcestershire sauce dry mustard tomato paste and simmer the mixture,Season,weak,0.5
-goI2-eJO1w,validation,124,5,272,323,place the hotdog chili cheese jalapeno onion and mustard sauce in the bun,Season,weak,0.5
-h8c5sLelZ4,training,405,0,15,26,heat oil in a pan,Cook-Heat,good,1.0
-h8c5sLelZ4,training,405,1,27,36,add a bay leaf cinnamon stick and cumin seeds,Season,weak,0.5
-h8c5sLelZ4,training,405,2,58,63,add chopped ginger and garlic,Season,good,1.0
-h8c5sLelZ4,training,405,3,71,77,add chopped white onion,Cut,weak,0.5
-h8c5sLelZ4,training,405,4,83,89,add lamb to pan and stir,Cook-Heat,weak,0.5
-h8c5sLelZ4,training,405,5,97,149,add chili powder coriander and tumeric and mix,Season,good,1.0
-h8c5sLelZ4,training,405,6,156,161,add salt and green chili,Season,good,1.0
-jZ_U3neOcI,training,422,0,4,8,add salt pork powder and shallots to water,Season,good,1.0
-jZ_U3neOcI,training,422,2,13,24,boil and let it simmer and skim all foam,Cook-Heat,good,1.0
-jZ_U3neOcI,training,422,3,28,33,add prawns and minced pork to a blender,Cut,weak,0.5
-jZ_U3neOcI,training,422,4,34,35,add chopped shallot and spring onion,Season,weak,0.5
-jZ_U3neOcI,training,422,5,36,41,add 1 tbsp of sugar pork powder and pepper,Season,weak,0.5
-jZ_U3neOcI,training,422,6,42,50,blend everything in the blender,Mix,good,1.0
-jZ_U3neOcI,training,422,7,59,75,wrap the mixture in wonton wrappers,Mix,good,1.0
-jZ_U3neOcI,training,422,8,76,85,boil the wontons in water,Cook-Heat,weak,0.5
-jZ_U3neOcI,training,422,9,97,113,boil some noodles in boiled water,Cook-Heat,good,1.0
-jZ_U3neOcI,training,422,10,114,132,add cooked shallot boiled pork and wontons to serve,Plate,weak,0.5
-ju7_ZORsZw,validation,215,0,148,154,boil the snails in water,Prep,good,1.0
-ju7_ZORsZw,validation,215,1,174,177,remove the snail from the shell,Cut,weak,0.5
-ju7_ZORsZw,validation,215,2,190,197,chop and cook the pancetta in a pan,Cook-Heat,good,1.0
-ju7_ZORsZw,validation,215,3,204,207,add sage and snails to the pan,Cook-Heat,good,1.0
-ju7_ZORsZw,validation,215,4,212,222,add parsley lemon juice and oil,Season,good,1.0
-ju7_ZORsZw,validation,215,5,223,241,place the snails on the salad,Prep,weak,0.5
-k7trpuj3X8,validation,107,0,35,40,put flour and salt and pepper into bag,Season,weak,0.5
-k7trpuj3X8,validation,107,1,63,76,cut the squid to about half an inch thick,Cut,good,1.0
-k7trpuj3X8,validation,107,2,80,88,drop the squid pieces into the bag,Cut,good,1.0
-k7trpuj3X8,validation,107,3,88,93,shake the bag to mix it up,Mix,good,1.0
-k7trpuj3X8,validation,107,4,115,125,heat oil to 365 in a pan,Cook-Heat,good,1.0
-k7trpuj3X8,validation,107,5,128,145,drop the squid pieces into the oil,Cut,good,1.0
-k7trpuj3X8,validation,107,6,225,240,remove the squid from the pot,Prep,weak,0.5
-lMphXmWvbk,training,223,0,115,135,put thyme parsley bay leaf and black pepper in a herb sachet and tie it,Season,good,1.0
-lMphXmWvbk,training,223,3,196,225,drain the beef and season with salt pepper and flour,Season,good,1.0
-lMphXmWvbk,training,223,4,233,261,add oil butter and the meat to a pot and cook,Cook-Heat,good,1.0
-lMphXmWvbk,training,223,5,265,289,take the meat out and cook the bacon and vegetables with oil and butter,Cook-Heat,good,1.0
-lMphXmWvbk,training,223,6,290,297,add tomato puree and brandy,Season,weak,0.5
-lMphXmWvbk,training,223,8,321,333,cover and put the pan in the oven,Bake,good,1.0
-lMphXmWvbk,training,223,9,334,360,fry the mushrooms with oil and butter in a pan,Cook-Heat,good,1.0
-lMphXmWvbk,training,223,10,360,368,add salt oil and butter,Season,good,1.0
-lMphXmWvbk,training,223,11,381,392,fry the shallots with more butter,Cook-Heat,good,1.0
-lMphXmWvbk,training,223,12,395,411,combine everything and cook in the oven,Bake,good,1.0
-lMphXmWvbk,training,223,13,413,422,remove the sachet and garnish with parsley,Prep,weak,0.5
-q9qwqV7onA,training,409,0,81,103,cook water rice salt and oil in a pan,Cook-Heat,good,1.0
-q9qwqV7onA,training,409,1,165,183,combine all the vegetables,Prep,weak,0.5
-q9qwqV7onA,training,409,2,192,205,add yogurt turmeric red chili powder and salt,Season,good,1.0
-q9qwqV7onA,training,409,3,206,223,mix all the ingredients together,Mix,good,1.0
-q9qwqV7onA,training,409,4,228,232,heat some oil in a pan,Cook-Heat,good,1.0
-q9qwqV7onA,training,409,5,233,253,add cumin seeds asafetida and tomato puree,Mix,weak,0.5
-q9qwqV7onA,training,409,6,277,304,add the mixed vegetables and stir,Mix,good,1.0
-q9qwqV7onA,training,409,7,353,370,mix the saffron milk with the rice,Mix,good,1.0
-q9qwqV7onA,training,409,8,376,441,layer the vegetables rice mint and garam masala,Prep,weak,0.5
-q9qwqV7onA,training,409,9,444,467,add sliced almonds and melted butter,Cut,weak,0.5
-sQXBqu-_1w,training,323,0,53,70,slice the pork,Cut,good,1.0
-sQXBqu-_1w,training,323,1,75,79,peel the skin off ginger and garlic cloves,Season,good,1.0
-sQXBqu-_1w,training,323,2,84,98,put soy sauce mirin ginger and garlic cloves into a spice blender,Season,weak,0.5
-sQXBqu-_1w,training,323,3,109,125,blend all the ingredients and pour the marinade into a bowl,Mix,good,1.0
-sQXBqu-_1w,training,323,4,128,130,add the pork,Cut,weak,0.5
-sQXBqu-_1w,training,323,6,140,188,chop red onion and slice red bell pepper and snap peas,Cut,good,1.0
-sQXBqu-_1w,training,323,7,197,205,cut the broccoli,Cut,good,1.0
-sQXBqu-_1w,training,323,8,247,283,add oil to a wok and stir fry the pork,Cook-Heat,good,1.0
-sQXBqu-_1w,training,323,9,285,295,add chopped onions and salt to the wok,Season,weak,0.5
-sQXBqu-_1w,training,323,10,298,303,add bell pepper slices peas and broccoli and stir fry,Season,weak,0.5
-sQXBqu-_1w,training,323,11,305,324,add the rice and toss the ingredients,Mix,good,1.0
-sQXBqu-_1w,training,323,12,325,339,add pork and sweet chili sauce and mix,Season,weak,0.5
-sQXBqu-_1w,training,323,13,342,349,season with soy sauce and stir the rice,Season,good,1.0
-sQXBqu-_1w,training,323,14,351,357,garnish with chopped red pepper and green onions,Season,good,1.0
-xbTvALWCIg,training,311,0,78,92,mix water salt and sugar,Season,weak,0.5
-xbTvALWCIg,training,311,1,94,104,soak the salmon in the brine,Prep,good,1.0
-xbTvALWCIg,training,311,2,121,127,add olive oil and the fish to a bag,Prep,weak,0.5
-xbTvALWCIg,training,311,3,153,175,cook the salmon in the bag,Prep,weak,0.5
-xbTvALWCIg,training,311,4,182,248,separate the salmon into pieces,Cut,weak,0.5
-xbTvALWCIg,training,311,6,271,292,place the avocado and salmon on the plate,Plate,good,1.0
-yfTO7V2d_E,training,122,0,69,83,cook the tomatos in the oven,Bake,good,1.0
-yfTO7V2d_E,training,122,1,102,115,add the garlic to the pot,Season,weak,0.5
-yfTO7V2d_E,training,122,3,160,184,add pureed tomatos salt and pepper to the pot,Season,good,1.0
-yfTO7V2d_E,training,122,4,199,201,pour in a can of water,Prep,weak,0.5
-yfTO7V2d_E,training,122,6,325,328,add the cooked tomatos,Cook-Heat,good,1.0
-yfTO7V2d_E,training,122,7,415,450,blend the soup,Mix,good,1.0
-yfTO7V2d_E,training,122,9,558,563,add pepper to the soup,Season,good,1.0
0-OWf7eul6w,training,214,0,7,42,cut some slices of goose liver and season with salt and pepper,Season,good,1.0
0-OWf7eul6w,training,214,1,45,81,cook the slices in a dry pan while remebering to flip them over once,Cook-Heat,good,1.0
01lB162koHA,training,224,0,53,59,cut the bone off the cutlet,Cut,good,1.0
01lB162koHA,training,224,1,72,76,pound the meat with a meat hammer,Cut,good,1.0
01lB162koHA,training,224,2,115,131,coat the veal in flour,Mix,weak,0.5
01lB162koHA,training,224,3,131,144,dip the veal in the eggs,Prep,good,1.0
01lB162koHA,training,224,5,199,220,fry the veal in the pan,Cook-Heat,good,1.0
02nUKT0A7uE,validation,224,0,58,77,whisk eggs and season with salt,Season,good,1.0
02nUKT0A7uE,validation,224,2,88,100,season meat with salt and pepper,Season,good,1.0
02nUKT0A7uE,validation,224,3,102,132,cover meat with flour dunk in eggs and coat in bread crumbs,Prep,weak,0.5
02nUKT0A7uE,validation,224,4,161,181,heat lard in large deep pan,Cook-Heat,good,1.0
02nUKT0A7uE,validation,224,5,184,207,fry meat in pan and then flip,Cook-Heat,good,1.0
02nUKT0A7uE,validation,224,6,208,221,transfer to a plate with paper towels,Plate,weak,0.5
05ZSU-5UkXw,validation,226,0,30,76,combine mint garlic sumac to a bowl with lemon juice and olive oil,Mix,weak,0.5
05ZSU-5UkXw,validation,226,2,137,152,pour dressing on top of the salad and toss,Mix,good,1.0
0EuykeOvGg4,validation,310,0,32,44,chop off head of tuna,Cut,good,1.0
0EuykeOvGg4,validation,310,1,58,98,cut down middle,Cut,good,1.0
0EuykeOvGg4,validation,310,2,132,154,cut along back bone and remove loin,Cut,good,1.0
0EuykeOvGg4,validation,310,3,244,269,spoon away the leftover meat,Plate,weak,0.5
0EuykeOvGg4,validation,310,4,316,330,cut one loin into three pieces,Cut,good,1.0
0EuykeOvGg4,validation,310,6,364,404,cut off top and chop into blocks,Cut,good,1.0
0H_IfT2sDZ8,training,318,0,27,48,pour blended green onion onion garlic and asian pear on top of the ribs,Cut,weak,0.5
0H_IfT2sDZ8,training,318,2,93,107,coat the grill with butter,Cook-Heat,good,1.0
0IuQKThr-pM,training,102,0,41,53,slice the onion and separate into rings,Cut,good,1.0
0IuQKThr-pM,training,102,1,53,61,season the onion with salt pepper garlic powder and cayenne,Season,good,1.0
0IuQKThr-pM,training,102,2,63,69,crush the cereal in a food processor,Mix,weak,0.5
0IuQKThr-pM,training,102,3,80,84,spray the pan with oil,Cook-Heat,good,1.0
0IuQKThr-pM,training,102,4,86,93,mix the onions with the egg,Mix,good,1.0
0IuQKThr-pM,training,102,5,93,109,coat the onion rings in the crumbs,Cut,weak,0.5
0IuQKThr-pM,training,102,6,111,117,add salt and pepper on top,Season,good,1.0
0IuQKThr-pM,training,102,7,120,126,bake the onions in the oven,Bake,good,1.0
0IuQKThr-pM,training,102,8,127,133,flip the onion rings over,Cut,weak,0.5
0IuQKThr-pM,training,102,9,133,140,cook the onion rings in the oven,Bake,good,1.0
0JPDr8uT8xU,training,313,0,46,76,cut the sashimi at an angle,Cut,good,1.0
0JPDr8uT8xU,training,313,1,76,100,cut the salmon at an angle,Cut,good,1.0
0JPDr8uT8xU,training,313,2,108,112,wet hands with water before handling rice,Prep,good,1.0
0JPDr8uT8xU,training,313,3,113,125,squeeze the rice into a football shape,Cut,weak,0.5
0JVmVXLrNZo,training,103,0,17,37,pat some meat into a patty and place it on the pan,Cook-Heat,good,1.0
0JVmVXLrNZo,training,103,1,60,65,spread some salt and pepper on the meat,Season,good,1.0
0JVmVXLrNZo,training,103,2,92,96,flip the browned patty over,Cook-Heat,good,1.0
0JVmVXLrNZo,training,103,3,117,121,remove the cooked patty,Cook-Heat,good,1.0
0JVmVXLrNZo,training,103,4,125,127,flip the patty over,Cook-Heat,good,1.0
0JVmVXLrNZo,training,103,5,158,169,place the patty of meat tomato onion and lettuce inside two buns,Cut,weak,0.5
0Jkcym1lGBc,training,324,0,8,11,heat the water,Prep,weak,0.5
0Jkcym1lGBc,training,324,3,59,62,heat the pan,Cook-Heat,good,1.0
0Jkcym1lGBc,training,324,4,65,82,soak the wake flakes in water,Prep,good,1.0
0Jkcym1lGBc,training,324,5,86,109,drain and remove the wakame from the water and cut into smaller pieces,Cut,good,1.0
0Jkcym1lGBc,training,324,7,135,145,cut the root off the spring onion and slice into diagonal pieces,Cut,good,1.0
0Jkcym1lGBc,training,324,8,150,165,add the wakame spring onion and udon noodles to the boiling water,Cook-Heat,weak,0.5
0Jkcym1lGBc,training,324,9,165,170,boil the noodles,Cook-Heat,good,1.0
0Mz4NTozNXw,training,102,1,40,56,stir in club soda with the flour mixture,Mix,good,1.0
0Mz4NTozNXw,training,102,2,60,70,add panko bread crumbs to a bowl,Mix,good,1.0
0Mz4NTozNXw,training,102,3,73,82,slice the onion into rings,Cut,good,1.0
0Mz4NTozNXw,training,102,5,97,112,coat the onion rings in the bread crumbs,Cut,weak,0.5
0Mz4NTozNXw,training,102,6,115,134,deep fry the onion rings in oil,Cook-Heat,good,1.0
0O4bxhpFX9o,training,101,0,41,54,place the bacon slices on a baking pan and cook them in an oven,Bake,good,1.0
0O4bxhpFX9o,training,101,1,84,122,cut the tomatoes into thin slices,Cut,good,1.0
0O4bxhpFX9o,training,101,2,130,135,toast the bread slices in the toaster,Cut,good,1.0
0O4bxhpFX9o,training,101,3,147,190,spread mayonnaise on the bread and place bacon slices lettuce and tomato slices on top,Mix,weak,0.5
0ShsPjf9shQ,validation,119,1,23,28,add salt and pepper to the bowl,Season,good,1.0
0ShsPjf9shQ,validation,119,2,32,34,pour milk into the bowl,Mix,good,1.0
0ShsPjf9shQ,validation,119,3,35,37,add beaten eggs,Mix,good,1.0
0ShsPjf9shQ,validation,119,4,39,48,add some garlic powder and worcestershire sauce,Season,good,1.0
0ShsPjf9shQ,validation,119,5,48,86,blend the ingredients,Mix,good,1.0
0ShsPjf9shQ,validation,119,6,90,112,put the mixture in a dish and shape into a loaf,Mix,good,1.0
0ShsPjf9shQ,validation,119,7,113,138,pour some ketchup brown sugar and yellow mustard into a bowl and mix them,Mix,good,1.0
0ShsPjf9shQ,validation,119,8,139,145,pour the mixture on the meat loaf,Mix,weak,0.5
0VBNakxmATU,training,112,0,1,20,mix mayonannaise milk pepper sauce salt pepper and vinegar,Season,good,1.0
0VBNakxmATU,training,112,1,21,28,cut the cheese into cubes,Cut,good,1.0
0VBNakxmATU,training,112,2,28,34,slice the tomatoes in half,Cut,good,1.0
0VBNakxmATU,training,112,4,40,50,pour the sauce on the salad and stir,Mix,good,1.0
0VBNakxmATU,training,112,5,53,69,slice up the basil and add to the salad,Mix,good,1.0
0VaYabFg-6E,training,222,1,219,254,heat some oil in a pot and add mixed vegetables to the pot,Cook-Heat,good,1.0
0VaYabFg-6E,training,222,5,370,380,add mussels to the pot,Season,weak,0.5
0VaYabFg-6E,training,222,6,389,394,pour the cream in the pot and stir,Mix,good,1.0
0VaYabFg-6E,training,222,7,402,417,heat the mussels in the pot with lid on,Cook-Heat,weak,0.5
0VaYabFg-6E,training,222,8,422,434,chop the cilantro,Cut,good,1.0
0VaYabFg-6E,training,222,9,492,507,take the mussels out of the pot,Prep,weak,0.5
0VaYabFg-6E,training,222,10,517,537,add cilantro and some salt to the pot,Season,good,1.0
0VaYabFg-6E,training,222,11,557,567,pour the juice on the mussels,Prep,weak,0.5
0Y8z5xbGKqI,training,410,0,14,23,add water to a bowl of flour and mix,Mix,good,1.0
0Y8z5xbGKqI,training,410,1,30,37,cover the dough with plastic wrap,Mix,weak,0.5
0Y8z5xbGKqI,training,410,2,39,47,roll the dough into a ball,Mix,good,1.0
0Y8z5xbGKqI,training,410,3,50,60,apply flour to the dough and roll into a thin circle,Mix,good,1.0
0Y8z5xbGKqI,training,410,5,74,85,apply flour to the chapati and roll again,Mix,weak,0.5
0Y8z5xbGKqI,training,410,6,104,120,place the chapati onto a hot pan and flip once it puffs up,Mix,weak,0.5
0_Ifseq4Eg8,training,111,0,30,41,add salt pepper oil and lemon juice to the grapes,Season,good,1.0
0_Ifseq4Eg8,training,111,1,47,53,bake the grapes in the oven,Bake,good,1.0
0_Ifseq4Eg8,training,111,2,56,60,add walnuts to the baking sheet and bake in the oven,Bake,good,1.0
0_Ifseq4Eg8,training,111,3,60,92,chop the celery,Cut,good,1.0
0_Ifseq4Eg8,training,111,4,92,112,slice the lettuce,Cut,good,1.0
0_Ifseq4Eg8,training,111,5,136,154,mix oil yougurt mustard salt pepper and lemon juice,Season,good,1.0
0_Ifseq4Eg8,training,111,6,166,170,chop taragon and mix into the dressing,Mix,good,1.0
0_Ifseq4Eg8,training,111,7,170,174,pour the dressing on the salad,Mix,good,1.0
0_Ifseq4Eg8,training,111,8,174,225,add the grapes and crushed nuts to the salad,Mix,weak,0.5
0eCScMSsl_Y,training,201,0,20,27,cut chicken in half,Cut,good,1.0
0eCScMSsl_Y,training,201,1,38,44,add olive oil to a pan,Cook-Heat,good,1.0
0eCScMSsl_Y,training,201,2,45,51,beat one large egg stir it and add some salt in a bowl,Mix,good,1.0
0eCScMSsl_Y,training,201,3,54,64,add some panko bread crumbs salt and a little ground black pepper,Season,good,1.0
0eCScMSsl_Y,training,201,4,65,72,dip the chicken into the egg and then into the panko,Cook-Heat,good,1.0
0eCScMSsl_Y,training,201,5,77,88,place the chicken in the pan with olive oil,Cook-Heat,good,1.0
0eCScMSsl_Y,training,201,6,105,115,spread some cheese on the cooked chicken,Cook-Heat,weak,0.5
0eCScMSsl_Y,training,201,7,117,120,put the chicken into an oven,Bake,good,1.0
0eCScMSsl_Y,training,201,8,122,132,place sauce and chicken on the pasta,Plate,good,1.0
0hVAuvPAIzA,training,301,1,60,86,chop garlic ginger and green onions and red chilies,Season,good,1.0
0hVAuvPAIzA,training,301,2,87,117,trim away chicken fat and cut meat into pieces,Cut,good,1.0
0hVAuvPAIzA,training,301,4,140,148,add corn starch and mix,Mix,weak,0.5
0hVAuvPAIzA,training,301,5,147,155,add oil and mix,Mix,good,1.0
0hVAuvPAIzA,training,301,6,165,184,add oil dried chilies and chicken to the wok,Cook-Heat,weak,0.5
0hVAuvPAIzA,training,301,7,198,204,add garlic green onions and ginger,Season,good,1.0
0hVAuvPAIzA,training,301,8,209,213,add sauce to the wok,Cook-Heat,good,1.0
0hb6NShH9hY,validation,314,0,72,80,boil the water and cook the ramen noodles,Cook-Heat,weak,0.5
0hb6NShH9hY,validation,314,1,81,87,remove the cooked noodles and rinse in cold water,Prep,good,1.0
0hb6NShH9hY,validation,314,2,123,128,add miso and ramen noodles to a jar,Mix,weak,0.5
0hb6NShH9hY,validation,314,3,134,159,wrap soy sauce eggs tofu and green onions and place in jar,Mix,good,1.0
0hb6NShH9hY,validation,314,5,168,178,add chicken bouillon paste and noodles to a jar,Mix,weak,0.5
0hb6NShH9hY,validation,314,7,190,202,place wrapped soy sauce eggs tofu some chicken pieces and chopped green onions in the jar,Mix,weak,0.5
0hb6NShH9hY,validation,314,8,212,226,take out the wrapped ingredients add boiling water and cover the jar,Mix,weak,0.5
0hb6NShH9hY,validation,314,9,227,237,remove the lid and stir and then add tofu and eggs,Mix,good,1.0
0hb6NShH9hY,validation,314,11,250,257,add the wrapped ingredients,Mix,good,1.0
0l_U1Moloqk,training,308,0,6,25,place lettuce and cucumber in a line on the sheet,Prep,good,1.0
0l_U1Moloqk,training,308,1,25,41,place the tuna in a line on the sheet,Plate,weak,0.5
0l_U1Moloqk,training,308,2,41,65,roll up the sheet and squeeze the roll,Cut,good,1.0
0l_U1Moloqk,training,308,3,66,107,slice the roll into pieces,Cut,good,1.0
0lkjIf5hZT4,training,127,0,10,23,peel a onion and chop it into pieces,Cut,good,1.0
0lkjIf5hZT4,training,127,1,25,31,heat the onion in a pot with olive oil in it,Cook-Heat,good,1.0
0lkjIf5hZT4,training,127,3,38,47,add some chili powder some cumin some cinnamon and some oregano,Season,good,1.0
0lkjIf5hZT4,training,127,4,54,64,add one tin of chopped tomato and tomato paste,Cut,weak,0.5
0lkjIf5hZT4,training,127,5,70,73,add hot water,Cook-Heat,weak,0.5
0lkjIf5hZT4,training,127,7,84,87,stir the beans,Prep,good,1.0
0lkjIf5hZT4,training,127,8,89,97,slice the pepper and add it to the pot,Season,weak,0.5
